fiscal_year,month_numeric,month,item,current_month_value,current_year_to_date_val,prev_month_value,prev_year_to_date_val,released_on,updated_on,data_source,data_url
2022-2023,2,February,TOTAL EXPENDITURE,325942,3493590,334491,3143875,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,TOTAL EXPENDITURE,695247,4188837,649925,3793800,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,FISCAL DEFICIT,74846,74846,78699,78699,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,FISCAL DEFICIT,129075,203921,44475,123174,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,FISCAL DEFICIT,147950,351871,151071,274245,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,FISCAL DEFICIT,-11040,340831,46898,321143,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,FISCAL DEFICIT,200770,541601,146866,468009,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,FISCAL DEFICIT,78248,619849,58842,526851,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,FISCAL DEFICIT,138288,758137,20175,547026,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,FISCAL DEFICIT,220017,978154,148588,695614,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,FISCAL DEFICIT,14822,992976,63752,759366,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,FISCAL DEFICIT,197829,1190805,178502,937868,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,FISCAL DEFICIT,263057,1453862,378727,1316595,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,FISCAL DEFICIT,279269,1733131,267924,1584519,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,REVENUE DEFICIT,-591,-591,31945,31945,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,REVENUE DEFICIT,122451,121860,33078,65023,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,REVENUE DEFICIT,82929,204789,105128,170151,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,REVENUE DEFICIT,-42509,162280,36712,206863,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,REVENUE DEFICIT,158520,320800,104457,311320,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,REVENUE DEFICIT,-9653,311147,4298,315618,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,REVENUE DEFICIT,73668,384815,-2140,313478,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,REVENUE DEFICIT,187707,572522,129209,442687,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,REVENUE DEFICIT,-14384,558138,-46496,396191,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,REVENUE DEFICIT,119969,678107,132586,528777,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,REVENUE DEFICIT,244428,922535,338900,867677,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,REVENUE DEFICIT,146464,1068999,164089,1031766,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,PRIMARY DEFICIT,33558,33558,49028,49028,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,PRIMARY DEFICIT,64941,98499,-14427,34601,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,PRIMARY DEFICIT,24777,123276,55349,89950,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,PRIMARY DEFICIT,-66315,56961,5376,95326,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,PRIMARY DEFICIT,146003,202964,94312,189638,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,PRIMARY DEFICIT,-19797,183167,-27994,161644,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,PRIMARY DEFICIT,93798,276965,-15805,145839,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,PRIMARY DEFICIT,155990,432955,88002,233841,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,PRIMARY DEFICIT,-120832,312123,-40339,193502,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,PRIMARY DEFICIT,140024,452147,128290,321792,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,PRIMARY DEFICIT,202758,654905,322852,644644,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,PRIMARY DEFICIT,149802,804707,134376,779020,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,REVENUE RECEIPTS,169859,169859,196495,196495,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,REVENUE RECEIPTS,242841,412700,160345,356840,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,REVENUE RECEIPTS,175888,588588,211218,568058,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,REVENUE RECEIPTS,172801,761389,187737,755795,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,REVENUE RECEIPTS,252137,1013526,61103,816898,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,REVENUE RECEIPTS,383586,1397112,352663,1169561,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,REVENUE RECEIPTS,170610,1567722,180321,1349882,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,REVENUE RECEIPTS,152398,1720120,73270,1423152,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,REVENUE RECEIPTS,322169,2042289,346842,1769994,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,REVENUE RECEIPTS,175620,2217909,149655,1919649,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,REVENUE RECEIPTS,-8127,2209782,61179,1980828,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,REVENUE RECEIPTS,518630,2728412,402378,2383206,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,TAX REVENUE (Net),158901,158901,184557,184557,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,TAX REVENUE (Net),119144,278045,123032,307589,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,TAX REVENUE (Net),155575,433620,198309,505898,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,TAX REVENUE (Net),148965,582585,160314,666212,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,TAX REVENUE (Net),221359,803944,33882,700094,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,TAX REVENUE (Net),356396,1160340,311867,1011961,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,TAX REVENUE (Net),141617,1301957,159142,1171103,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,TAX REVENUE (Net),133798,1435755,53730,1224833,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,TAX REVENUE (Net),294176,1729931,330859,1555692,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,TAX REVENUE (Net),149909,1879840,133018,1688710,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,TAX REVENUE (Net),-30388,1849452,43483,1732193,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,TAX REVENUE (Net),477072,2326524,365592,2097785,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,NON-TAX REVENUE,10958,10958,11938,11938,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,NON-TAX REVENUE,123697,134655,37313,49251,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,NON-TAX REVENUE,20313,154968,12909,62160,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,NON-TAX REVENUE,23836,178804,27423,89583,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,NON-TAX REVENUE,30778,209582,27221,116804,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,NON-TAX REVENUE,27190,236772,40796,157600,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,NON-TAX REVENUE,28993,265765,21179,178779,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,NON-TAX REVENUE,18600,284365,19540,198319,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,NON-TAX REVENUE,27993,312358,15983,214302,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,NON-TAX REVENUE,25711,338069,16637,230939,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,NON-TAX REVENUE,22261,360330,17696,248635,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,NON-TAX REVENUE,41558,401888,36786,285421,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,NON-DEBT CAPITAL RECEIPTS,642,642,3488,3488,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,NON-DEBT CAPITAL RECEIPTS,2349,2991,21525,25013,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,NON-DEBT CAPITAL RECEIPTS,7712,10703,2969,27982,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,NON-DEBT CAPITAL RECEIPTS,3015,13718,2137,30119,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,NON-DEBT CAPITAL RECEIPTS,1687,15405,1408,31527,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,NON-DEBT CAPITAL RECEIPTS,4761,20166,2660,34187,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,NON-DEBT CAPITAL RECEIPTS,2824,22990,1505,35692,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,NON-DEBT CAPITAL RECEIPTS,2473,25463,5789,41481,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,NON-DEBT CAPITAL RECEIPTS,4187,29650,13625,55106,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,NON-DEBT CAPITAL RECEIPTS,4569,34219,2088,57194,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,NON-DEBT CAPITAL RECEIPTS,1921,36140,1706,58900,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,NON-DEBT CAPITAL RECEIPTS,24320,60460,13296,72196,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,(RECOVERY OF LOANS),592,592,429,429,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,(RECOVERY OF LOANS),2349,2941,537,966,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,(RECOVERY OF LOANS),3527,6468,2457,3423,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,(RECOVERY OF LOANS),1785,8253,2136,5559,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,(RECOVERY OF LOANS),1551,9804,1408,6967,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,(RECOVERY OF LOANS),3412,13216,2630,9597,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,(RECOVERY OF LOANS),1774,14990,1505,11102,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,(RECOVERY OF LOANS),1614,16604,1950,13052,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,(RECOVERY OF LOANS),2993,19597,3383,16435,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,(RECOVERY OF LOANS),2067,21664,2088,18523,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,(RECOVERY OF LOANS),1816,23480,1706,20229,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,(RECOVERY OF LOANS),3858,27338,5932,26161,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,(OTHER RECEIPTS),50,50,3059,3059,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,(OTHER RECEIPTS),0,50,20988,24047,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,(OTHER RECEIPTS),4185,4235,512,24559,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,(OTHER RECEIPTS),1230,5465,1,24560,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,(OTHER RECEIPTS),136,5601,0,24560,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,(OTHER RECEIPTS),1349,6950,30,24590,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,(OTHER RECEIPTS),1050,8000,0,24590,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,(OTHER RECEIPTS),859,8859,3839,28429,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,(OTHER RECEIPTS),1194,10053,10242,38671,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,(OTHER RECEIPTS),2502,12555,0,38671,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,(OTHER RECEIPTS),105,12660,0,38671,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,(OTHER RECEIPTS),20462,33122,7364,46035,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,TOTAL RECEIPTS,170501,170501,199983,199983,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,TOTAL RECEIPTS,245190,415691,181870,381853,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,TOTAL RECEIPTS,183600,599291,214187,596040,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,TOTAL RECEIPTS,175816,775107,189874,785914,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,TOTAL RECEIPTS,253824,1028931,62511,848425,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,TOTAL RECEIPTS,388347,1417278,355323,1203748,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,TOTAL RECEIPTS,173434,1590712,181826,1385574,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,TOTAL RECEIPTS,154871,1745583,79059,1464633,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,TOTAL RECEIPTS,326356,2071939,360467,1825100,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,TOTAL RECEIPTS,180189,2252128,151743,1976843,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,TOTAL RECEIPTS,-6206,2245922,62885,2039728,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,TOTAL RECEIPTS,542950,2788872,415674,2455402,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,REVENUE EXPENDITURE,225639,225639,195904,195904,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,REVENUE EXPENDITURE,232550,458189,282796,478700,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,REVENUE EXPENDITURE,313992,772181,294147,772847,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,REVENUE EXPENDITURE,291440,1063621,145228,918075,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,REVENUE EXPENDITURE,234337,1297958,219623,1137698,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,REVENUE EXPENDITURE,330553,1628511,343010,1480708,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,REVENUE EXPENDITURE,218977,1847488,253989,1734697,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,REVENUE EXPENDITURE,219034,2066522,260977,1995674,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,REVENUE EXPENDITURE,314065,2380587,332458,2328132,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,REVENUE EXPENDITURE,252956,2633543,269624,2597756,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,REVENUE EXPENDITURE,308131,2941674,305607,2903363,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,REVENUE EXPENDITURE,552362,3494036,550275,3453638,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,INTEREST PAYMENTS,47929,47929,41288,41288,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,INTEREST PAYMENTS,62734,110663,64134,105422,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,INTEREST PAYMENTS,133042,243705,123173,228595,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,INTEREST PAYMENTS,56184,299889,55275,283870,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,INTEREST PAYMENTS,67650,367539,54767,338637,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,INTEREST PAYMENTS,116790,484329,98045,436682,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,INTEREST PAYMENTS,60757,545086,44490,481172,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,INTEREST PAYMENTS,62877,607963,64027,545199,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,INTEREST PAYMENTS,140244,748207,135654,680853,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,INTEREST PAYMENTS,73524,821731,57805,738658,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,INTEREST PAYMENTS,59057,880788,60299,798957,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,INTEREST PAYMENTS,183083,1063871,129560,928517,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,CAPITAL EXPENDITURE,78457,78457,78925,78925,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,CAPITAL EXPENDITURE,89332,167789,28149,107074,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,CAPITAL EXPENDITURE,110691,278480,67990,175064,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,CAPITAL EXPENDITURE,38599,317079,33606,208670,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,CAPITAL EXPENDITURE,56720,373799,43658,252328,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,CAPITAL EXPENDITURE,116829,490628,90561,342889,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,CAPITAL EXPENDITURE,56296,546924,66125,409014,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,CAPITAL EXPENDITURE,38721,585645,38099,447113,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,CAPITAL EXPENDITURE,87985,673630,42831,489944,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,CAPITAL EXPENDITURE,47557,721187,79948,569892,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,CAPITAL EXPENDITURE,84426,805613,20335,590227,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,CAPITAL EXPENDITURE,142893,948506,149292,739519,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,LOANS DISBURSED,1819,1819,10572,10572,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,LOANS DISBURSED,15429,17248,1707,12279,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,LOANS DISBURSED,27345,44593,1818,14097,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,LOANS DISBURSED,3298,47891,3197,17294,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,LOANS DISBURSED,10425,58316,1878,19172,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,LOANS DISBURSED,16491,74807,4386,23558,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,LOANS DISBURSED,3035,77842,20749,44307,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,LOANS DISBURSED,3044,80886,10334,54641,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
