fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,7,July,Securities against Small Savings,240000.00,38413.37,16%,(38%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,State Provident Funds,18000.00,9373.64,52%,(9%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Special Deposits,0.00,-392.32,,,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,National Small Saving Fund,0.00,41123.46,,,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Savings Deposit and Certificates,206617.92,62022.92,30%,(42%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Public Provident Funds,89318.51,14428.49,16%,(19%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Investment In Securities,-286577.18,-59074.87,21%,(22%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Income/Expenditure of NSSF,-9359.25,23746.92,-254%,(110%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Others,50848.54,-28106.71,-55%,(-41%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Cash Balance {Decrease(+)/Increase(-)},-53002.81,4900.33,-9%,(10%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Investment (-) / Disinvestment(+) of Surplus Cash,,-55115.00,,,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Ways & Means Advances,,0.00,,,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,TOTAL FINANCING,796337.00,821349.40,103 %,(78%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,8,August,External Financing,4621.65,40072.31,867%,(-259%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Domestic Financing,791715.35,830274.69,105%,(77%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Market Borrowings,535869.62,974389.05,182%,(90%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Securities against Small Savings,240000.00,34219.42,14%,(36%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,State Provident Funds,18000.00,9656.74,54%,(9%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Special Deposits,0.00,-532.86,,,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,National Small Saving Fund,0.00,56804.61,,,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Savings Deposit and Certificates,206617.92,77818.06,38%,(52%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Public Provident Funds,89318.51,17114.55,19%,(22%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Investment In Securities,-286577.18,-68122.77,24%,(19%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Income/Expenditure of NSSF,-9359.25,29994.77,-320%,(144%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Others,50848.54,-124791.70,-245%,(-79%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Cash Balance {Decrease(+)/Increase(-)},-53002.81,4989.43,-9%,(10%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Investment (-) / Disinvestment(+) of Surplus Cash,,-124460.00,,,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Ways & Means Advances,,0.00,,,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,TOTAL FINANCING,796337.00,870347.00,109%,(79%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,9,September,External Financing,4621.65,38363.89,830%,(-155%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Domestic Financing,791715.35,875628.94,111%,(92%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Market Borrowings,535869.62,1111303.91,207%,(107%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Securities against Small Savings,240000.00,50719.35,21%,(47%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,State Provident Funds,18000.00,9649.14,54%,(15%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Special Deposits,0.00,-564.57,,,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,National Small Saving Fund,0.00,80099.06,,,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Savings Deposit and Certificates,206617.92,97128.99,47%,(54%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Public Provident Funds,89318.51,19437.48,22%,(24%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Investment In Securities,-286577.18,-85848.69,30%,(28%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Income/Expenditure of NSSF,-9359.25,49381.28,-528%,(465%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Others,50848.54,-121507.17,-239%,(-67%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Cash Balance {Decrease(+)/Increase(-)},-53002.81,4990.22,-9%,(10%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Investment (-) / Disinvestment(+) of Surplus Cash,,-259061.00,,,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Ways & Means Advances,,0.00,,,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,TOTAL FINANCING,796337.00,913992.83,115%,(93%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,10,October,External Financing,4621.65,39509.36,855%,(-209%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,Domestic Financing,791715.35,913644.92,115%,(101%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,Market Borrowings,535869.62,1153799.83,215%,(112%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,Securities against Small Savings,240000.00,75468.68,31%,(61%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,State Provident Funds,18000.00,9804.23,54%,(15%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,Special Deposits,0.00,-626.13,,,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,National Small Saving Fund,0.00,76894.72,,,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,Savings Deposit and Certificates,206617.92,113832.16,55%,(64%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,Public Provident Funds,89318.51,21430.89,24%,(29%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,Investment In Securities,-286577.18,-109713.96,38%,(43%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,Income/Expenditure of NSSF,-9359.25,51345.63,-549%,(684%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
