year,month,month_numeric,date_stamp,fx_turnover_purchases_merchant_fcy_inr_spot,fx_turnover_purchases_merchant_fcy_inr_forward,fx_turnover_purchases_merchant_fcy_inr_forward_cancellation,fx_turnover_purchases_merchant_fcy_fcy_spot,fx_turnover_purchases_merchant_fcy_fcy_forward,fx_turnover_purchases_merchant_fcy_fcy_forward_cancellation,fx_turnover_purchases_merchant_total,fx_turnover_purchases_inter_bank_fcy_inr_spot,fx_turnover_purchases_inter_bank_fcy_inr_swap,fx_turnover_purchases_inter_bank_fcy_inr_forward,fx_turnover_purchases_inter_bank_fcy_fcy_spot,fx_turnover_purchases_inter_bank_fcy_fcy_swap,fx_turnover_purchases_inter_bank_fcy_fcy_forward,fx_turnover_purchases_inter_bank_total,fx_turnover_sales_merchant_fcy_inr_spot,fx_turnover_sales_merchant_fcy_inr_forward,fx_turnover_sales_merchant_fcy_inr_forward_cancellation,fx_turnover_sales_merchant_fcy_fcy_spot,fx_turnover_sales_merchant_fcy_fcy_forward,fx_turnover_sales_merchant_fcy_fcy_forward_cancellation,fx_turnover_sales_merchant_total,fx_turnover_sales_inter_bank_fcy_inr_spot,fx_turnover_sales_inter_bank_fcy_inr_swap,fx_turnover_sales_inter_bank_fcy_inr_forward,fx_turnover_sales_inter_bank_fcy_fcy_spot,fx_turnover_sales_inter_bank_fcy_fcy_swap,fx_turnover_sales_inter_bank_fcy_fcy_forward,fx_turnover_sales_inter_bank_total,released_on,updated_on,data_source,data_url
2026,January,1,2026-01-29,6693.119955,2515.114989,2959.25357,1659.267974,711.53131,550.631978,15088.919776,19249.50747,34528.2457,3694.220415,10435.105469,4430.306188,749.996294,73087.381536,7962.532434,4012.080801,1502.95845,1672.291407,647.6045,551.084704,16348.552296,18399.895142,31914.682,2156.2562,10388.16288,4458.614965,750.642302,68068.253489,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-28,8663.882087,4596.224607,4129.795288,1509.074278,1211.078872,868.892527,20978.947659,24242.428925,32465.9171,3070.1374,13330.315574,5674.906538,620.745088,79404.450625,7688.118843,5256.957513,3764.3912,1509.465992,1176.502517,869.11862,20264.554685,23714.992683,27139.8412,3963.7174,13209.634994,5575.408914,622.10595,74225.701141,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-27,8243.228495,1944.934492,2028.455652,1090.483054,992.471621,652.202707,14951.776021,19746.533611,28251.4426,4020.4832,12810.815,3507.066157,663.456813,68999.797381,6738.764851,3243.677482,1914.843636,1089.556319,946.595028,652.555554,14585.99287,19191.892576,27633.1185,3591.573,12762.533211,3516.136032,662.79318,67358.046499,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-23,6413.399552,1681.507193,1630.084033,1031.641038,935.164496,613.258622,12305.054934,19729.163455,30189.6024,3364.207252,7906.614971,3398.207609,966.583587,65554.379274,6147.869496,2948.774786,1249.030759,1053.468041,999.719978,612.664738,13011.527798,18730.920472,25479.9401,2879.724707,7795.584755,3332.906255,968.226111,59187.3024,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-22,6409.475715,1080.237369,1777.508755,893.011693,442.018563,149.777679,10752.029774,21608.663032,33992.6305,4068.2682,6455.958007,2725.556857,1653.022921,70504.099517,8282.140464,2539.814961,620.312055,861.996005,445.080509,152.624661,12901.968655,20793.422422,32188.6339,2811.663918,6444.492332,2618.471231,1669.604676,66526.288479,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-21,6421.180942,3781.469862,2511.041245,1009.783598,230.325575,173.013321,14126.814543,22191.172537,31240.6947,4076.258957,6706.360793,2339.707645,185.84377,66740.038402,6832.477713,4541.267139,1733.70955,1010.693893,182.185679,173.23269,14473.566664,20945.895591,26936.001466,3360.9666,6689.736153,2348.878106,185.793547,60467.271463,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-20,5673.662074,3839.446369,1792.972498,1045.41032,263.196519,233.798283,12848.486063,19468.121967,35345.966939,4294.1739,15142.52003,3111.533287,256.748212,77619.064335,8743.497221,2885.727608,2600.587983,1067.108403,219.412111,233.88285,15750.216176,18412.105676,32150.1411,2862.2452,15075.510888,3060.973983,256.778157,71817.755004,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-19,3115.30886,1966.697274,1949.143439,473.900393,226.437221,104.144463,7835.63165,14785.798252,16395.3732,2631.9141,5507.91452,996.136869,145.514293,40462.651234,3206.070492,2679.19618,1277.915284,461.892045,244.253717,104.495143,7973.822861,14200.978185,14604.2428,1945.9583,5520.310892,960.008251,145.285771,37376.784199,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-16,7743.566487,1959.351645,1797.223628,778.723948,235.607119,138.854318,12653.327145,25092.77381,33245.5744,2725.9834,5949.94109,2992.134125,250.297846,70256.704671,6909.214497,3283.296284,954.417677,570.352395,221.373137,139.529754,12078.183744,23198.576201,25876.3821,3993.3409,5925.437988,3019.606673,250.682135,62264.025997,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-14,5191.353778,2138.883581,4809.565831,461.239538,291.699431,267.3497,13160.091859,13864.054316,36939.9162,5145.199167,6616.503958,3475.717866,1079.467594,67120.859101,4875.04073,5896.352297,1765.786689,463.945112,248.310285,265.553968,13514.989081,13245.450897,26897.3781,4406.55192,6584.027112,3570.908543,1080.010231,55784.326803,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
