year,month,month_numeric,date_stamp,usd_inr_interbank_open_rate,usd_inr_interbank_high_rate,usd_inr_interbank_low_rate,usd_inr_interbank_close_rate,usd_inr_rbi_reference_rate,released_on,updated_on,data_source,data_url
2021,June,6,2021-06-14,73.205,73.105,73.285,73.275,73.1893,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,June,6,2021-06-11,72.945,72.925,73.085,73.075,72.9844,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,June,6,2021-06-10,72.975,72.945,73.135,73.055,72.9947,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,June,6,2021-06-09,72.915,72.895,73.015,72.995,72.9769,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,June,6,2021-06-08,72.775,72.765,72.905,72.895,72.8419,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,June,6,2021-06-07,72.855,72.745,72.885,72.805,72.8087,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,June,6,2021-06-04,73.025,72.965,73.125,73.005,73.0266,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,June,6,2021-06-03,73.165,72.905,73.185,72.915,73.1197,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,June,6,2021-06-02,73.085,73.025,73.305,73.095,73.2088,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,June,6,2021-06-01,72.545,72.545,72.955,72.905,72.7714,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,May,5,2021-05-31,72.395,72.345,72.655,72.615,72.5211,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,May,5,2021-05-28,72.485,72.325,72.505,72.445,72.4767,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,May,5,2021-05-27,72.755,72.545,72.765,72.595,72.6404,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,May,5,2021-05-25,72.865,72.745,72.875,72.775,72.8045,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,May,5,2021-05-24,72.865,72.865,72.985,72.965,72.8961,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
