fiscal_year,month_numeric,month,category,current_month_value,current_year_to_date_val,prev_month_value,prev_year_to_date_val,released_on,updated_on,data_source,data_url
2021-2022,4,April,(WAYS AND MEANS ADVANCES),0.00,0.00,135088.00,135088.00,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,(WAYS AND MEANS ADVANCES),0.00,0.00,24608.00,24608.00,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,EXTERNAL FINANCING,2705.39,2705.39,2908.57,2908.57,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,EXTERNAL FINANCING,3555.23,6260.62,-1152.45,1756.12,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,EXTERNAL FINANCING,4183.89,10444.51,-3534.80,-1778.68,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,EXTERNAL FINANCING,-151.38,10293.13,1036.02,-742.66,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,EXTERNAL FINANCING,1588.45,11881.58,79.78,-662.88,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,EXTERNAL FINANCING,229.33,12110.91,4576.50,3913.62,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,EXTERNAL FINANCING,2344.03,14454.94,2495.12,6408.74,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,EXTERNAL FINANCING,519.66,14974.60,3740.97,10149.71,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,EXTERNAL FINANCING,2769.43,17744.03,-350.00,9799.71,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,EXTERNAL FINANCING,9595.01,27339.04,2340.41,12140.12,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,EXTERNAL FINANCING,844.90,28183.94,2079.29,14219.41,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,EXTERNAL FINANCING,8787.17,36971.11,21927.79,36147.20,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,DOMESTIC FINANCING,72140.51,72140.51,75790.61,75790.61,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,DOMESTIC FINANCING,125520.34,197660.85,45627.21,121417.82,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,DOMESTIC FINANCING,143766.00,341426.85,154605.69,276023.51,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,DOMESTIC FINANCING,-10888.86,330537.99,45862.34,321885.85,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,DOMESTIC FINANCING,199181.74,529719.73,146786.23,468672.08,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,DOMESTIC FINANCING,78018.34,607738.07,54265.16,522937.24,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,DOMESTIC FINANCING,135943.67,743681.74,17679.71,540616.95,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,DOMESTIC FINANCING,219498.11,963179.85,144846.91,685463.86,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,DOMESTIC FINANCING,12052.32,975232.17,64101.95,749565.81,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,DOMESTIC FINANCING,188233.67,1163465.84,176162.15,925727.96,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,DOMESTIC FINANCING,262211.82,1425677.66,376647.43,1302375.39,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,DOMESTIC FINANCING,270482.22,1696159.88,245997.86,1548373.25,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,(MARKET BORROWINGS),111674.78,111674.78,51925.12,51925.12,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,(MARKET BORROWINGS),166050.56,277725.34,137419.64,189344.76,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,(MARKET BORROWINGS),199281.22,477006.56,157646.58,346991.34,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,(MARKET BORROWINGS),61803.77,538810.33,9256.14,356247.48,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,(MARKET BORROWINGS),117823.05,656633.38,89857.56,446105.04,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,(MARKET BORROWINGS),-14727.83,641905.55,32093.68,478198.72,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,(MARKET BORROWINGS),110873.18,752778.73,27056.01,505254.73,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,(MARKET BORROWINGS),126976.75,879755.48,34814.47,540069.20,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,(MARKET BORROWINGS),5778.00,885533.48,16130.26,556199.46,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,(MARKET BORROWINGS),120177.40,1005710.88,193026.57,749226.03,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,(MARKET BORROWINGS),168086.50,1173797.38,127692.25,876918.28,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,(MARKET BORROWINGS),-11957.46,1161839.92,-66899.40,810018.88,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,(SECURITIES AGAINST SMALL SAVINGS),-23315.89,-23315.89,-9175.89,-9175.89,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,(SECURITIES AGAINST SMALL SAVINGS),-5040.81,-28356.70,-1842.04,-11017.93,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,(SECURITIES AGAINST SMALL SAVINGS),-6964.77,-35321.47,152397.18,141379.25,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,(SECURITIES AGAINST SMALL SAVINGS),55937.83,20616.36,-3735.01,137644.24,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,(SECURITIES AGAINST SMALL SAVINGS),-6536.69,14079.67,49274.66,186918.90,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,(SECURITIES AGAINST SMALL SAVINGS),103704.68,117784.35,27809.68,214728.58,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,(SECURITIES AGAINST SMALL SAVINGS),-6258.07,111526.28,-4255.82,210472.76,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,(SECURITIES AGAINST SMALL SAVINGS),42695.33,154221.61,66653.07,277125.83,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,(SECURITIES AGAINST SMALL SAVINGS),17532.12,171753.73,22424.99,299550.82,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,(SECURITIES AGAINST SMALL SAVINGS),-7130.56,164623.17,-4260.62,295290.20,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,(SECURITIES AGAINST SMALL SAVINGS),10034.07,174657.24,27280.28,322570.48,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,(SECURITIES AGAINST SMALL SAVINGS),221202.49,395859.73,228698.47,551268.95,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,(STATE PROVIDENT FUNDS),1285.38,1285.38,3891.96,3891.96,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,(STATE PROVIDENT FUNDS),-3222.63,-1973.25,-759.84,3132.12,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,(STATE PROVIDENT FUNDS),-2037.04,-3974.29,-677.08,2455.04,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,(STATE PROVIDENT FUNDS),-669.48,-4643.77,-1155.50,1299.54,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,(STATE PROVIDENT FUNDS),-853.04,-5496.81,-594.97,704.57,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,(STATE PROVIDENT FUNDS),1396.13,-4100.68,-759.13,-54.56,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,(STATE PROVIDENT FUNDS),93.03,-4007.65,-207.06,-261.62,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,(STATE PROVIDENT FUNDS),-1330.36,-5338.01,-27.26,-288.88,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,(STATE PROVIDENT FUNDS),-244.08,-5582.09,-477.58,-766.46,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,(STATE PROVIDENT FUNDS),-1144.05,-6726.14,-360.02,-1126.48,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,(STATE PROVIDENT FUNDS),-1041.00,-7767.14,-349.53,-1476.01,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,(STATE PROVIDENT FUNDS),12787.01,5019.87,11792.67,10316.66,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-11.71,-11.71,-14.90,-14.90,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-70.66,-82.37,0.05,-14.85,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-32.73,-115.10,-9.93,-24.78,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",6512.06,6396.96,-10.88,-35.66,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",2523.72,8920.68,-21.95,-57.61,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-5886.40,3034.28,-15.63,-73.24,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-22343.08,-19308.80,-5412.04,-5485.28,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",741.15,-18567.65,-5025.10,-10510.38,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-7720.54,-26288.19,-17.31,-10527.69,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-2103.13,-28391.32,-14704.52,-25232.21,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-638.91,-29030.23,30882.06,5649.85,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",162.75,-28867.48,-13791.43,-8141.58,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,(NATIONAL SMALL SAVING FUND),65129.54,65129.54,40327.86,40327.86,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,(NATIONAL SMALL SAVING FUND),32762.38,97891.92,30425.41,70753.27,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,(NATIONAL SMALL SAVING FUND),35914.69,133806.61,-121486.11,-50732.84,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,(NATIONAL SMALL SAVING FUND),-32302.63,101503.98,27729.47,-23003.37,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,(NATIONAL SMALL SAVING FUND),32185.26,133689.24,-16395.36,-39398.73,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,(NATIONAL SMALL SAVING FUND),-50440.77,83248.47,26901.79,-12496.94,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,(NATIONAL SMALL SAVING FUND),30350.04,113598.51,30274.96,17778.02,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,(NATIONAL SMALL SAVING FUND),-21703.76,91894.75,-40953.12,-23175.10,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,(NATIONAL SMALL SAVING FUND),3466.00,95360.75,7766.87,-15408.23,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,(NATIONAL SMALL SAVING FUND),30425.29,125786.04,39588.75,24180.52,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,(NATIONAL SMALL SAVING FUND),16913.64,142699.68,4186.61,28367.13,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,(NATIONAL SMALL SAVING FUND),-169390.41,-26690.73,-144416.15,-116049.02,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,(SAVINGS DEPOSITS AND CERTIFICATES),18279.18,18279.18,14991.37,14991.37,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,(SAVINGS DEPOSITS AND CERTIFICATES),16743.43,35022.61,12518.70,27510.07,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,(SAVINGS DEPOSITS AND CERTIFICATES),19352.49,54375.10,22895.09,50405.16,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,(SAVINGS DEPOSITS AND CERTIFICATES),20014.62,74416.72,22761.79,73166.95,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,(SAVINGS DEPOSITS AND CERTIFICATES),15611.01,90027.73,21109.96,94276.91,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,(SAVINGS DEPOSITS AND CERTIFICATES),15488.89,105516.62,22346.33,116623.24,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,(SAVINGS DEPOSITS AND CERTIFICATES),13175.20,118691.82,17939.83,134563.07,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,(SAVINGS DEPOSITS AND CERTIFICATES),11089.38,129781.20,16816.37,151379.44,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,(SAVINGS DEPOSITS AND CERTIFICATES),13103.16,142884.36,21615.76,172995.20,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,(SAVINGS DEPOSITS AND CERTIFICATES),13319.92,156204.28,18199.92,191195.12,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,(SAVINGS DEPOSITS AND CERTIFICATES),13034.41,169238.69,17183.88,208379.00,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,(SAVINGS DEPOSITS AND CERTIFICATES),31841.85,201080.54,32859.41,241238.41,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,(PUBLIC PROVIDENT FUNDS),11869.14,11869.14,8591.12,8591.12,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,(PUBLIC PROVIDENT FUNDS),3538.51,15407.65,3977.77,12568.89,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,(PUBLIC PROVIDENT FUNDS),2358.15,17765.80,2639.45,15208.34,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,(PUBLIC PROVIDENT FUNDS),2402.41,20168.21,1911.54,17119.88,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,(PUBLIC PROVIDENT FUNDS),2186.18,22354.39,1529.51,18649.39,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,(PUBLIC PROVIDENT FUNDS),2089.03,24443.42,1425.10,20074.49,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,(PUBLIC PROVIDENT FUNDS),1564.49,26007.91,1246.40,21320.89,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,(PUBLIC PROVIDENT FUNDS),1879.28,27887.19,1425.89,22746.78,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,(PUBLIC PROVIDENT FUNDS),2695.82,30583.01,2351.06,25097.84,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,(PUBLIC PROVIDENT FUNDS),4271.59,34854.60,3966.16,29064.00,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,(PUBLIC PROVIDENT FUNDS),4971.08,39825.68,3850.84,32914.84,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,(PUBLIC PROVIDENT FUNDS),65841.33,105667.01,59043.34,91958.18,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,(INVESTMENT IN SECURITIES),25912.69,25912.69,11379.76,11379.76,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,(INVESTMENT IN SECURITIES),7770.73,33683.42,3926.87,15306.63,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,(INVESTMENT IN SECURITIES),9034.19,42717.61,-152768.40,-137461.77,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,(INVESTMENT IN SECURITIES),-54080.13,-11362.52,3257.67,-134204.10,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,(INVESTMENT IN SECURITIES),6869.93,-4492.59,-46353.33,-180557.43,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,(INVESTMENT IN SECURITIES),-101257.39,-105749.98,-24975.94,-205533.37,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,(INVESTMENT IN SECURITIES),7966.42,-97783.56,5022.15,-200511.22,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,(INVESTMENT IN SECURITIES),-39741.92,-137525.48,-64587.89,-265099.11,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,(INVESTMENT IN SECURITIES),-15371.63,-152897.11,-20489.16,-285588.27,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,(INVESTMENT IN SECURITIES),12094.43,-140802.68,15700.87,-269887.40,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,(INVESTMENT IN SECURITIES),-7466.72,-148269.40,-23954.57,-293841.97,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,(INVESTMENT IN SECURITIES),-210274.34,-358543.74,-192784.60,-486626.57,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,(INCOME / EXPENDITURE OF NSSF),9068.53,9068.53,5365.61,5365.61,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,(INCOME / EXPENDITURE OF NSSF),4709.71,13778.24,10002.07,15367.68,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,(INCOME / EXPENDITURE OF NSSF),5169.86,18948.10,5747.75,21115.43,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,(INCOME / EXPENDITURE OF NSSF),-666.53,18281.57,-201.53,20913.90,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,(INCOME / EXPENDITURE OF NSSF),7518.14,25799.71,7318.50,28232.40,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,(INCOME / EXPENDITURE OF NSSF),33238.70,59038.41,28106.30,56338.70,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,(INCOME / EXPENDITURE OF NSSF),7643.93,66682.34,6066.58,62405.28,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
