fiscal_year,month_numeric,month,category,sub_category,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2022-2023,8,August,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,65000.00,24560.14,38%,(5%),2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings including PSBs and FIs,65000.00,24559.93,38%,(11%),2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt.'s Stake in PSBs and Fls,0.00,0.00,,(0%),2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.21,,,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,TOTAL,TOTAL,79291.00,31527.38,40%,(8%),2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,Recoveries of Loans and Advances,Gross Recoveries,24666.02,9962.95,40%,(14%),2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,Recoveries of Loans and Advances,Less Short Term Loans and Advances,10375.02,366.25,4%,(<1%),2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14291.00,9596.70,67%,(69%),2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,65000.00,24590.15,38%,(5%),2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,65000.00,24559.93,38%,(12%),2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt.'s Stake in PSBs and Fls,0.00,0.00,,(0%),2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,30.22,,,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,TOTAL,TOTAL,79291.00,34186.85,43%,(10%),2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,Recoveries of Loans and Advances,Gross Recoveries,24666.02,21171.65,86%,(16%),2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,Recoveries of Loans and Advances,Less Short Term Loans and Advances,10375.02,10070.08,97%,(<1%),2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14291.00,11101.57,78%,(80%),2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,65000.00,24590.14,38%,(5%),2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,65000.00,24559.93,38%,(12%),2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt.'s Stake in PSBs and Fls,0.00,0.00,,(0%),2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,30.21,,,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,TOTAL,TOTAL,79291.00,35691.71,45%,(10%),2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,Recoveries of Loans and Advances,Gross Recoveries,24666.02,23130.78,94%,(18%),2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,Recoveries of Loans and Advances,Less Short Term Loans and Advances,10375.02,10078.96,97%,(<1%),2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14291.00,13051.82,91%,(87%),2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,65000.00,28429.15,44%,(5%),2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,65000.00,28398.93,44%,(12%),2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt.'s Stake in PSBs and Fls,0.00,0.00,,(0%),2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,30.22,,,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,TOTAL,TOTAL,79291.00,41480.97,52%,(11%),2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Recoveries of Loans and Advances,Gross Recoveries,24666.02,26523.88,108%,(30%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Recoveries of Loans and Advances,Less Short Term Loans and Advances,10375.02,10088.30,97%,(<1%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14291.00,16435.58,115%,(147%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,65000.00,38671.00,59%,(5%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,65000.00,31122.66,48%,(12%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt.'s Stake in PSBs and Fls,0.00,0.00,,(0%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Miscellaneous Capital Receipts,(iii) Proceeds of monetization of National Highways,0.00,7518.10,,,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Miscellaneous Capital Receipts,(iv) Other Receipts,0.00,30.24,,,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,TOTAL,TOTAL,79291.00,55106.58,69%,(15%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,Recoveries of Loans and Advances,Gross Recoveries,51250.00,33876.72,66%,(85%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,Recoveries of Loans and Advances,Less Short Term Loans and Advances,25250.00,12212.46,48%,(99%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,26000.00,21664.26,83%,(79%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,30000.00,12555.42,42%,(64%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,30000.00,12555.41,42%,,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,0.00,0.00,,(75%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.01,,,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,TOTAL,TOTAL,56000.00,34219.68,61%,(68%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,Recoveries of Loans and Advances,Gross Recoveries,51250.00,35702.27,70%,(90%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,Recoveries of Loans and Advances,Less Short Term Loans and Advances,25250.00,12222.59,48%,(99%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,26000.00,23479.68,90%,(86%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,30000.00,12659.75,42%,(64%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,30000.00,12610.37,42%,,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,0.00,0.00,,(75%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,49.38,,,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,TOTAL,TOTAL,56000.00,36139.43,65%,(71%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Recoveries of Loans and Advances,Gross Recoveries,51250.00,39560.88,77%,(107%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,25250.03,12222.86,48%,(99%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,25999.97,27338.02,105%,(111%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,30000.00,33122.68,110%,(77%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Miscellaneous Capital Receipts,(i) Receipts,30000.00,17145.12,57%,,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Miscellaneous Capital Receipts,(ii) Others,0.00,15976.56,,(107%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Miscellaneous Capital Receipts,(iii) Issue of Bonus Share,12157.99,12159.00,1 00%,,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Miscellaneous Capital Receipts,Less Expenditure Netted,12157.99,12158.00,100%,,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Miscellaneous Capital Receipts,Net Issue of Bonus Share,0.00,1.00,,,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,TOTAL,TOTAL,55999.97,60460.70,108%,(86%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,Recoveries of Loans and Advances,Gross Recoveries,48250.01,609.65,1%,(2%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,Recoveries of Loans and Advances,Less Short Term Loans and Advances,25250.01,17.34,<1%,(<1%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,23000.00,592.31,3%,(3%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,61000.00,49.64,<1%,(5%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,51000.00,49.64,<1%,,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,10000.00,0.00,0%,,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.00,,,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,TOTAL,TOTAL,84000.00,641.95,1%,(4%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,Recoveries of Loans and Advances,Gross Recoveries,48250.01,2969.40,6%,(4%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,Recoveries of Loans and Advances,Less Short Term Loans and Advances,25250.01,28.23,<1%,(<1%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,23000.00,2941.17,13%,(7%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,61000.00,49.64,<1%,(37%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,51000.00,49.64,<1%,,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,10000.00,0.00,0%,,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.00,,,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,TOTAL,TOTAL,84000.00,2990.81,4%,(32%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,Recoveries of Loans and Advances,Gross Recoveries,48250.01,6508.72,13%,(14%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,Recoveries of Loans and Advances,Less Short Term Loans and Advances,25250.01,40.60,<1%,(<1%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,23000.00,6468.12,28%,(24%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,61000.00,4234.96,7%,(38%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,51000.00,4234.96,8%,,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,10000.00,0.00,0%,,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.00,,,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,TOTAL,TOTAL,84000.00,10703.08,13%,(35%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,Recoveries of Loans and Advances,Gross Recoveries,48250.02,10453.93,22%,(23%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,Recoveries of Loans and Advances,Less Short Term Loans and Advances,25250.02,2000.68,9%,(<1%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,23000.00,8253.25,36%,(39%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,61000.00,5465.19,9%,(38%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,51000.00,5465.19,11%,,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,10000.00,0.00,0%,,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.00,,,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,TOTAL,TOTAL,84000.00,13718.44,16%,(38%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,Recoveries of Loans and Advances,Gross Recoveries,48250.02,12012.30,25%,(29%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,Recoveries of Loans and Advances,Less Short Term Loans and Advances,25250.02,2208.50,9%,(1%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,23000.00,9803.80,43%,(49%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,61000.00,5600.95,9%,(38%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,51000.00,5600.95,11%,,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,10000.00,0.00,0%,,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.00,,,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,TOTAL,TOTAL,84000.00,15404.75,18%,(40%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,Recoveries of Loans and Advances,Gross Recoveries,48250.02,22194.71,46%,(40%),2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,Recoveries of Loans and Advances,Less Short Term Loans and Advances,25250.02,8978.31,36%,(4%),2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,23000.00,13216.40,57%,(67%),2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,61000.00,6949.44,11%,(38%),2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,51000.00,6949.44,14%,,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,10000.00,0.00,0%,,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.00,,,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,TOTAL,TOTAL,84000.00,20165.84,24%,(43%),2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,Recoveries of Loans and Advances,Gross Recoveries,48250.02,27172.79,5 6%,(86%),2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,Recoveries of Loans and Advances,Less Short Term Loans and Advances,25250.02,12182.50,48%,(97%),2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,23000.00,14990.29,65%,(78%),2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,61000.00,8000.20,13%,(38%),2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,51000.00,8000.20,16%,,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,10000.00,0.00,0%,,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.00,,,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,TOTAL,TOTAL,84000.00,22990.49,27%,(45%),2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,Recoveries of Loans and Advances,Gross Recoveries,48250.02,28795.71,60%,(94%),2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,Recoveries of Loans and Advances,Less Short Term Loans and Advances,25250.02,12191.50,48%,(97%),2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,23000.00,16604.21,72%,(91%),2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
