fiscal_year,month_numeric,month,category,sub_category,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,8,August,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,120000.00,28.74,< 1%,(12%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. Stake in PSBs and FIs,90000.00,0.00,0%,,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,TOTAL,TOTAL,224966.67,6663.80,3%,(15%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,Recoveries of Loans and Advances,Gross Recoveries,66341.68,8918.86,13%,(13%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,64.34,< 1%,(< 1%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14966.67,8854.52,59%,(56%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,210000.00,5781.37,3%,(12%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,120000.00,5781.37,5%,(12%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. Stake in PSBs and FIs,90000.00,0.00,0%,,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,TOTAL,TOTAL,224966.67,14635.89,7%,(17%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,Recoveries of Loans and Advances,Gross Recoveries,66341.68,10291.80,16%,(14%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,74.01,< 1%,(< 1%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14966.67,10217.79,68%,(64%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,210000.00,6178.74,3%,(17%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,120000.00,6178.74,5%,(17%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. Stake in PSBs and FIs,90000.00,0.00,0%,,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,TOTAL,TOTAL,224966.67,16396.53,7%,(22%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,Recoveries of Loans and Advances,Gross Recoveries,66341.68,12045.34,18%,(17%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,83.10,< 1%,(< 1%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14966.67,11962.24,80%,(74%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,210000.00,6178.79,3%,(17%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,120000.00,6178.79,5%,(17%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. Stake in PSBs and FIs,90000.00,0.00,0%,,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,TOTAL,TOTAL,224966.67,18141.03,8%,(24%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,Recoveries of Loans and Advances,Gross Recoveries,66341.68,14294.55,22%,(20%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,93.02,< 1%,(< 1%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14966.67,14201.53,95%,(87%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,210000.00,18896.33,9%,(17%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,120000.00,18896.33,16%,(17%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. Stake in PSBs and FIs,90000.00,0.00,0%,,2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,TOTAL,TOTAL,224966.67,33097.86,15%,(26%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Recoveries of Loans and Advances,Gross Recoveries,32600.00,20624.62,63%,(61%),2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Recoveries of Loans and Advances,Less Short Term Loans and Advances,10625.00,97.40,1%,(1%),2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,21975.00,20527.22,93%,(109%),2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,78000.00,12068.26,15%,(77%),2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,78000.00,12036.87,15%,,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. State in PSBs and FIs,0.00,0.00,,0%,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Miscellaneous Capital Receipts,(iii) Proceeds of monetization of National Highways,0.00,0.00,,,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Miscellaneous Capital Receipts,(iv) Other Receipts,0.00,31.39,,,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,TOTAL,TOTAL,99975.00,32595.48,33%,(87%),2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,Recoveries of Loans and Advances,Gross Recoveries,32600.00,22843.21,70%,(66%),2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,Recoveries of Loans and Advances,Less Short Term Loans and Advances,10625.00,94.06,1%,(1%),2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,21975.00,22749.15,104%,(118%),2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,78000.00,13514.05,17%,(80%),2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings including PSBs and FIs,78000.00,8476.82,11%,(59%),2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,0.00,1011.00,,,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,4026.23,,,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,TOTAL,TOTAL,99975.00,36263.20,36%,(92%),2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,Recoveries of Loans and Advances,Gross Recoveries,32600.00,24781.53,76%,(115%),2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,Recoveries of Loans and Advances,Less Short Term Loans and Advances,10625.00,211.68,2%,(89%),2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,21975.00,24569.85,112%,(136%),2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,78000.00,14638.22,19%,(118%),2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings including PSBs and FIs,78000.00,8432.10,11%,(93%),2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,0.00,1011.00,,,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,5195.12,,,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,TOTAL,TOTAL,99975.00,39208.07,39%,(124%),2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,Recoveries of Loans and Advances,Gross Recoveries,64375.01,389.45,1%,(1%),2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,17.29,<1%,(<1%),2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,13000.00,372.16,3%,(2%),2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,175000.00,0.36,0%,(<1%),2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,75000.00,0.00,0%,(<1%),2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. State in PSBs and FIs,100000.00,0.00,0%,0%,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.36,,,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,TOTAL,TOTAL,188000.00,372.52,<1%,(<1%),2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,Recoveries of Loans and Advances,Gross Recoveries,64375.01,840.90,1%,(1%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
