fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2022-2023,12,December,Total Receipts (1+4),2283713,1825100,79.9%,(89.1%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2022-2023.aspx
2022-2023,12,December,Revenue Expenditure,3195257,2328132,72.9 %,(72.7%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2022-2023.aspx
2022-2023,12,December,of which Interest Payments,940651,680853,72.4 %,(69.9%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2022-2023.aspx
2022-2023,12,December,Capital Expenditure,749652,489944,65.4%,(70.7%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2022-2023.aspx
2022-2023,12,December,of which Loans disbursed,140057,68442,48.9%,(82.3%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2022-2023.aspx
2022-2023,12,December,Total Expenditure (8+10),3944909,2818076,71.4%,(72.4%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2022-2023.aspx
2022-2023,12,December,Fiscal Deficit (12-7),1661196,992976,59.8%,(50.4%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2022-2023.aspx
2022-2023,12,December,Revenue Deficit (8-1),990835,558138,56.3 %,(34.7%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2022-2023.aspx
2022-2023,12,December,Primary Deficit (13-9),720545,312123,43.3%,(27.8%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2022-2023.aspx
2023-2024,1,January,Revenue Receipts,2699713,2217909,82.2%,(81.7%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Tax Revenue (Net),2323918,1879840,80.9 %,(80.9%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Non-Tax Revenue,375795,338069,90.0%,(88.2 %),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Non-Debt Capital Receipts,56000,34219,61.1%,(68.5%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Recovery of Loans,26000,21664,83.3%,(78.8%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Other Receipts,30000,12555,41.9%,(64.5%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Total Receipts (1+4),2755713,2252128,81.7%,(81.3%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Revenue Expenditure,3540931,2633543,74.4%,(75.1%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,of which Interest Payments,1055427,821731,77.9%,(78.5%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Capital Expenditure,949555,721187,75.9%,(78.3%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,of which Loans disbursed,143194,96989,67.7%,(68.4%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Total Expenditure (8+10),4490486,3354730,74.7%,(75.7%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Fiscal Deficit (12-7),1734773,1102602,63.6%,(67.8%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Revenue Deficit (8-1),841218,415634,49.4%,(61.0%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Primary Deficit (13-9),679346,280871,41.3%,(55.5%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,2,February,Revenue Receipts,2699713,2209782,81.9%,(84.3%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Tax Revenue (Net),2323918,1849452,79.6%,(83.0%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Non-Tax Revenue,375795,360330,95.9%,(95.0 %),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Non-Debt Capital Receipts,56000,36140,64.5%,(70.5%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Recovery of Loans,26000,23480,90.3%,(86.1%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Other Receipts,30000,12660,42.2%,(64.5%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Total Receipts (1+4),2755713,2245922,81.5%,(83.9%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Revenue Expenditure,3540931,2941674,83.1%,(83.9%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,of which Interest Payments,1055427,880788,83.5 %,(84.9%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Capital Expenditure,949555,805613,84.8%,(81.1%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,of which Loans disbursed,143194,126952,88 .7%,(73.1%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Total Expenditure (8+10),4490486,3747287,83.4%,(83.4%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Fiscal Deficit (12-7),1734773,1501365,86.5 %,(82.8%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Revenue Deficit (8-1),841218,731892,87.0%,(83.0%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Primary Deficit (13-9),679346,620577,91.3%,(80.4%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,3,March,Revenue Receipts,2699713,2728412,101.1%,(101.5%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Tax Revenue (Net),2323918,2326524,100.1%,(100.5%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Non-Tax Revenue,375795,401888,106.9%,(109.0 %),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Non-Debt Capital Receipts,56000,60460,108.0%,(86.5%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Recovery of Loans,26000,27338,105.1%,(111.3%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Other Receipts,30000,33122,110.4%,(76.7%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Total Receipts (1+4),2755713,2788872,101.2%,(101.0%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Revenue Expenditure,3540931,3494036,98.7%,(99.8%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,of which Interest Payments,1055427,1063871,100.8%,(98.7%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Capital Expenditure,949555,948506,99.9%,(101.6%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,of which Loans disbursed,143194,161095,112.5%,(106.7%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Total Expenditure (8+10),4490486,4442542,98.9%,(100.1%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Fiscal Deficit (12-7),1734773,1653670,95.3 %,(99.0%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Revenue Deficit (8-1),841218,765624,91.0%,(96.3%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Primary Deficit (13-9),679346,589799,86.8%,(99.3%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,4,April,Revenue Receipts,2632281,169859,6.5%,(8.9%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Tax Revenue (Net),2330631,158901,6.8 %,(9.5%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Non-Tax Revenue,301650,10958,3.6%,(4.4%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Non-Debt Capital Receipts,84000,642,0.8%,(4.4%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Recovery of Loans,23000,592,2.6%,(3.0%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Other Receipts,61000,50,0.1%,(4.7%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Total Receipts (1+4),2716281,170501,6.3%,(8.8%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Revenue Expenditure,3502724,225639,6.4%,(6.1%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,of which Interest Payments,1079971,47929,4.4%,(4.4%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Capital Expenditure,1000373,78457,7.8%,(10.5%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,of which Loans disbursed,163834,1819,1.1%,(7.5%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Total Expenditure (8+10),4503097,304096,6.8%,(7.0%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Fiscal Deficit (12-7),1786816,133595,7.5%,(4.5%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Revenue Deficit (8-1),870443,55780,6.4%,(-0.1%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Primary Deficit (13-9),706845,85666,12.1%,(4.7%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,5,May,Revenue Receipts,2632281,412700,15.7%,(16.2%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Tax Revenue (Net),2330631,278045,11.9%,(15.9%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Non-Tax Revenue,301650,134655,44.6%,(18.3%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Non-Debt Capital Receipts,84000,2991,3.6%,(31.5%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Recovery of Loans,23000,2941,12.8%,(6.8%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Other Receipts,61000,50,0.1%,(37.0%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Total Receipts (1+4),2716281,415691,15.3%,(16.7%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Revenue Expenditure,3502724,458189,13.1%,(15.0%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,of which Interest Payments,1079971,110663,10.2%,(11.2%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Capital Expenditure,1000373,167789,16.8%,(14.3%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,of which Loans disbursed,163834,17248,10.5%,(8.8%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Total Expenditure (8+10),4503097,625978,13.9%,(14.8%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Fiscal Deficit (12-7),1786816,210287,11.8%,(12.3%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Revenue Deficit (8-1),870443,45489,5.2%,(12.3%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Primary Deficit (13-9),706845,99624,14.1%,(13.7%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,6,June,Revenue Receipts,2632281,588588,22.4%,(25.8%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Tax Revenue (Net),2330631,433620,18.6%,(26.1%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Non-Tax Revenue,301650,154968,51.4 %,( 23.1%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Non-Debt Capital Receipts,84000,10703,12.7%,(35.3%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Recovery of Loans,23000,6468,28.1%,(24.0%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Other Receipts,61000,4235,6.9%,(37.8%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Total Receipts (1+4),2716281,599291,22.1%,(26.1%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Revenue Expenditure,3502724,772181,22.0%,(24.2%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,of which Interest Payments,1079971,243705,22.6%,(24.3%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Capital Expenditure,1000373,278480,27. 8%,(23.4%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,of which Loans disbursed,163834,44593,27.2%,(10.1%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Total Expenditure (8+10),4503097,1050661,23.3%,(24.0%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Fiscal Deficit (12-7),1786816,451370,25.3%,(21.2%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Revenue Deficit (8-1),870443,183593,21.1%,(20.7%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Primary Deficit (13-9),706845,207665,29.4%,(17.1%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,7,July,Revenue Receipts,2632281,761389,28.9%,(34.3%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Tax Revenue (Net),2330631,582585,25.0%,(34.4%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Non-Tax Revenue,301650,178804,59.3 %,(33.2 %),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Non-Debt Capital Receipts,84000,13718,16.3%,(38.0%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Recovery of Loans,23000,8253,35.9 %,(38.9%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Other Receipts,61000,5465,9.0 %,(37.8%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Total Receipts (1+4),2716281,775107,28.5%,(34.4%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Revenue Expenditure,3502724,1063621,30.4%,(28.7%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,of which Interest Payments,1079971,299889,27.8%,(30.2%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Capital Expenditure,1000373,317079,31.7%,(27.8%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,of which Loans disbursed,163834,47891,29.2%,(12.3%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Total Expenditure (8+10),4503097,1380700,30.7 %,(28.6%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Fiscal Deficit (12-7),1786816,605593,33.9 %,(20.5%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Revenue Deficit (8-1),870443,302232,34.7 %,(16.4%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Primary Deficit (13-9),706845,305704,43.2 %,(7.9%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,8,August,Revenue Receipts,2632281,1013526,38.5%,(37.1%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,Tax Revenue (Net),2330631,803944,34.5 %,(36.2%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,Non-Tax Revenue,301650,209582,69.5%,(43.3 %),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,Non-Debt Capital Receipts,84000,15405,18.3%,(39.8%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,Recovery of Loans,23000,9804,42.6%,(48.8%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,Other Receipts,61000,5601,9.2 %,(37.8%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,Total Receipts (1+4),2716281,1028931,37.9%,(37.2%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,Revenue Expenditure,3502724,1297958,37.1%,(35.6%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,of which Interest Payments,1079971,367539,34.0%,(36.0%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,Capital Expenditure,1000373,373799,37.4%,(33.7%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,of which Loans disbursed,163834,58316,35.6%,(13.7%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,Total Expenditure (8+10),4503097,1671757,37.1%,(35.2%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,Fiscal Deficit (12-7),1786816,642826,36.0%,(32.6%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
