fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,7,July,Other Receipts,210000,3,<1 %,(11.8%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Total Receipts (1+4),2245893,232860,10.4%,(19.2%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Revenue Expenditure,2630221,942360,35.8%,(34.3%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,of which Interest Payments,708203,198584,28.0%,(27.8%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Capital Expenditure,412009,111849,27.1%,(31.8%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,of which Loans disbursed,31763,14930,47.0%,(31.1%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Total Expenditure (8+10),3042230,1054209,34.7 %,(34.0%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Fiscal Deficit (12-7),796337,821349,103.1 %,(77.8%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Revenue Deficit (8-1),609295,714958,117.3 %,(94.1%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Primary Deficit (13-9),88134,622765,706.6%,(841.0%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,8,August,Revenue Receipts,2020926,370642,18.3%,(30.7%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Tax Revenue (Net),1635909,284495,17.4%,(24.5%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Non-Tax Revenue,385017,86147,22.4%,(63.4%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Non-Debt Capital Receipts,224967,6664,3.0%,(15.2%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
