fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,coppy_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2023-2024,12,December,Total Major Subsidies,374707.01,276804.34,350523.63,74%,(110%),2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2023-2024.aspx
2024-2025,1,January,Food Subsidy,197420.00,170541.73,148139.70,86%,(70%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2024-2025.aspx
2024-2025,1,January,Nutrient Based Fertilizers Subsidy,52310.00,48014.75,59561.42,92%,(99%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2024-2025.aspx
2024-2025,1,January,Urea Subsidy,118988.50,112199.97,105987.42,94%,(82%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2024-2025.aspx
2024-2025,1,January,Petroleum,14700.01,6976.62,1870.22,47%,(15%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2024-2025.aspx
2024-2025,1,January,Total Major Subsidies,383418.51,337733.07,315558.76,88%,(76%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2024-2025.aspx
2024-2025,2,February,Food Subsidy,197420.00,186202.34,178406.87,94%,(84%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2024-2025.aspx
2024-2025,2,February,Nutrient Based Fertilizers Subsidy,52310.00,49523.04,60054.07,95%,(100%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2024-2025.aspx
2024-2025,2,February,Urea Subsidy,118988.50,116197.84,114473.04,98%,(89%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2024-2025.aspx
2024-2025,2,February,Petroleum,14700.01,11081.36,8063.03,75%,(66%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2024-2025.aspx
2024-2025,2,February,Total Major Subsidies,383418.51,363004.58,360997.01,95%,(87%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2024-2025.aspx
2024-2025,3,March,Food Subsidy,197420.00,199867.08,211814.39,101%,(100%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2024-2025.aspx
2024-2025,3,March,Nutrient Based Fertilizers Subsidy,52310.00,52810.00,65199.58,101%,(108%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2024-2025.aspx
2024-2025,3,March,Urea Subsidy,118988.50,120879.83,124287.86,102%,(97%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2024-2025.aspx
2024-2025,3,March,Petroleum,14700.01,14479.00,12240.00,98%,(100%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2024-2025.aspx
2024-2025,3,March,Total Major Subsidies,383418.51,388035.91,413541.83,101%,(100%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2024-2025.aspx
2024-2025,4,April,Food Subsidy,205250.01,12814.40,10000.01,6%,(5%),2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2024-2025.aspx
2024-2025,4,April,Nutrient Based Fertilizers Subsidy,45000.00,1811.38,9362.82,4%,(21%),2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2024-2025.aspx
2024-2025,4,April,Urea Subsidy,118999.80,4781.44,5797.90,4%,(4%),2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2024-2025.aspx
2024-2025,4,April,Petroleum,11925.01,0.00,0.00,0%,(0%),2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2024-2025.aspx
2024-2025,4,April,Total Major Subsidies,381174.82,19407.22,25160.73,5%,(7%),2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2024-2025.aspx
2024-2025,5,May,Food Subsidy,205250.01,38539.12,30805.22,19 %,(16%),2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2024-2025.aspx
2024-2025,5,May,Nutrient Based Fertilizers Subsidy,45000.00,3583.42,9473.06,8 %,(22%),2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2024-2025.aspx
2024-2025,5,May,Urea Subsidy,118999.80,12442.67,15038.04,10 %,(11%),2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2024-2025.aspx
2024-2025,5,May,Petroleum,11925.01,122.45,0.00,1 %,(0%),2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2024-2025.aspx
2024-2025,5,May,Total Major Subsidies,381174.82,54687.66,55316.32,14 %,(15%),2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2024-2025.aspx
2024-2025,6,June,Food Subsidy,205250.01,61968.97,41534.00,30%,(21%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2024-2025.aspx
2024-2025,6,June,Nutrient Based Fertilizers Subsidy,45000.00,7914.17,16035.28,18 %,(36%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2024-2025.aspx
2024-2025,6,June,Urea Subsidy,118999.80,19910.75,29077.25,17%,(22%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2024-2025.aspx
2024-2025,6,June,Petroleum,11925.01,380.13,388.61,3 %,(17%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2024-2025.aspx
2024-2025,6,June,Total Major Subsidies,381174.82,90174.02,87035.14,24 %,(23%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2024-2025.aspx
2024-2025,7,July,Food Subsidy,205250.01,78897.17,68494.25,38%,(35%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2024-2025.aspx
2024-2025,7,July,Nutrient Based Fertilizers Subsidy,45000.00,12759.32,24561.46,28 %,(56%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2024-2025.aspx
2024-2025,7,July,Urea Subsidy,118999.80,30455.85,47473.88,26%,(36%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2024-2025.aspx
2024-2025,7,July,Petroleum,11925.01,3526.81,466.26,30 %,(21%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2024-2025.aspx
2024-2025,7,July,Total Major Subsidies,381174.82,125639.15,140995.85,33%,(38%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2024-2025.aspx
2024-2025,8,August,Food Subsidy,205250.01,113790.70,82921.95,55%,(42%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2024-2025.aspx
2024-2025,8,August,Nutrient Based Fertilizers Subsidy,45000.00,17814.80,34110.69,40%,(78%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2024-2025.aspx
2024-2025,8,August,Urea Subsidy,118999.80,43355.09,62969.32,3 6%,(48%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2024-2025.aspx
2024-2025,8,August,Petroleum,11925.01,3664.09,736.72,31 %,(33%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2024-2025.aspx
2024-2025,8,August,Total Major Subsidies,381174.82,178624.68,180738.68,47 %,(48%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2024-2025.aspx
2024-2025,9,September,Food Subsidy,205250.01,121436.78,95149.44,59%,(48%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2024-2025.aspx
2024-2025,9,September,Nutrient Based Fertilizers Subsidy,45000.00,26193.21,42200.69,58 %,(96%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2024-2025.aspx
2024-2025,9,September,Urea Subsidy,118999.80,63267.44,67926.23,53%,(52%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2024-2025.aspx
2024-2025,9,September,Petroleum,11925.01,3760.52,1119.17,32 %,(50%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2024-2025.aspx
2024-2025,9,September,Total Major Subsidies,381174.82,214657.95,206395.53,56 %,(55%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2024-2025.aspx
2024-2025,10,October,Food Subsidy,205250.01,140239.11,110871.82,68%,(56%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2024-2025.aspx
2024-2025,10,October,Nutrient Based Fertilizers Subsidy,45000.00,31173.20,43315.26,69%,(98%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2024-2025.aspx
2024-2025,10,October,Urea Subsidy,118999.80,71272.72,76387.51,60 %,(58%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2024-2025.aspx
2024-2025,10,October,Petroleum,11925.01,5985.40,1119.17,50%,(50%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2024-2025.aspx
2024-2025,10,October,Total Major Subsidies,381174.82,248670.43,231693.76,65 %,(62%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2024-2025.aspx
2024-2025,11,November,Food Subsidy,205250.01,151765.26,114391.63,74%,(58%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2024-2025.aspx
2024-2025,11,November,Nutrient Based Fertilizers Subsidy,45000.00,37273.35,44004.20,83%,(100%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2024-2025.aspx
2024-2025,11,November,Urea Subsidy,118999.80,84089.36,83240.55,71%,(63%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2024-2025.aspx
2024-2025,11,November,Petroleum,11925.01,6082.82,1119.17,51%,(50%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2024-2025.aspx
2024-2025,11,November,Total Major Subsidies,381174.82,279210.79,242755.55,73 %,(65%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2024-2025.aspx
2024-2025,12,December,Food Subsidy,205250.01,163716.30,134256.29,80%,(68%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2024-2025.aspx
2024-2025,12,December,Nutrient Based Fertilizers Subsidy,45000.00,40990.68,44004.20,91 %,(100%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2024-2025.aspx
2024-2025,12,December,Urea Subsidy,118999.80,95407.98,96834.85,80%,(74%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2024-2025.aspx
2024-2025,12,December,Petroleum,11925.01,6879.23,1709.00,58%,(76%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2024-2025.aspx
2024-2025,12,December,Total Major Subsidies,381174.82,306994.19,276804.34,81 %,(74%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2024-2025.aspx
2025-2026,1,January,Food Subsidy,228153.65,162842.02,170541.73,71%,(86%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2025-2026.aspx
2025-2026,1,January,Nutrient Based Fertilizers Subsidy,60000.00,57708.47,48014.75,96%,(92%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2025-2026.aspx
2025-2026,1,January,Urea Subsidy,126460.00,125487.68,112199.97,99%,(94%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2025-2026.aspx
2025-2026,1,January,Petroleum,15120.51,8822.92,6976.62,58 %,(47%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2025-2026.aspx
2025-2026,1,January,Total Major Subsidies,429734.16,354861.09,337733.07,83%,(88%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2025-2026.aspx
2025-2026,2,February,Food Subsidy,228153.65,192813.91,186202.34,85%,(94%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2025-2026.aspx
2025-2026,2,February,Nutrient Based Fertilizers Subsidy,60000.00,59941.17,49523.04,100 %,(95%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2025-2026.aspx
2025-2026,2,February,Urea Subsidy,126460.00,128032.09,116197.84,101%,(98%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2025-2026.aspx
2025-2026,2,February,Petroleum,15120.51,8822.92,11081.36,58 %,(75%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2025-2026.aspx
2025-2026,2,February,Total Major Subsidies,429734.16,389610.09,363004.58,91 %,(95%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2025-2026.aspx
2025-2026,4,April,Food Subsidy,203420.00,14422.53,12814.40,7%,(6%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2025-2026.aspx
2025-2026,4,April,Nutrient Based Fertilizers Subsidy,49000.00,1885.81,1811.38,4%,(4%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2025-2026.aspx
2025-2026,4,April,Urea Subsidy,118887.20,12646.33,4781.44,11%,(4%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2025-2026.aspx
2025-2026,4,April,Petroleum,12100.01,0.00,0.00,0%,(0%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2025-2026.aspx
2025-2026,4,April,Total Major Subsidies,383407.21,28954.67,19407.22,8 %,(5%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2025-2026.aspx
2025-2026,5,May,Food Subsidy,203420.00,27990.67,38539.12,14 %,(19%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2025-2026.aspx
2025-2026,5,May,Nutrient Based Fertilizers Subsidy,49000.00,4310.70,3583.42,9%,(8%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2025-2026.aspx
2025-2026,5,May,Urea Subsidy,118887.20,18951.37,12442.67,16%,(10%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2025-2026.aspx
2025-2026,5,May,Petroleum,12100.01,0.00,122.45,0%,(1%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2025-2026.aspx
2025-2026,5,May,Total Major Subsidies,383407.21,51252.74,54687.66,13 %,(14%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2025-2026.aspx
2025-2026,6,June,Food Subsidy,203420.00,42277.09,61968.97,21%,(30%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2025-2026.aspx
2025-2026,6,June,Nutrient Based Fertilizers Subsidy,49000.00,9498.73,7914.17,19%,(18%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2025-2026.aspx
2025-2026,6,June,Urea Subsidy,118887.20,31523.37,19910.75,27%,(17%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2025-2026.aspx
2025-2026,6,June,Petroleum,12100.01,255.03,380.13,2 %,(3%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2025-2026.aspx
2025-2026,6,June,Total Major Subsidies,383407.21,83554.22,90174.02,22%,(24%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2025-2026.aspx
2025-2026,7,July,Food Subsidy,203420.00,54022.25,78897.17,27%,(38%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2025-2026.aspx
2025-2026,7,July,Nutrient Based Fertilizers Subsidy,49000.00,17236.72,12759.32,35 %,(28%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2025-2026.aspx
2025-2026,7,July,Urea Subsidy,118887.20,41927.11,30455.85,35%,(26%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2025-2026.aspx
2025-2026,7,July,Petroleum,12100.01,406.20,3526.81,3 %,(30%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2025-2026.aspx
2025-2026,7,July,Total Major Subsidies,383407.21,113592.28,125639.15,30%,(33%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2025-2026.aspx
2025-2026,8,August,Food Subsidy,203420.00,64408.13,113790.70,32%,(55%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2025-2026.aspx
2025-2026,8,August,Nutrient Based Fertilizers Subsidy,49000.00,24841.09,17814.80,51 %,(40%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2025-2026.aspx
2025-2026,8,August,Urea Subsidy,118887.20,60622.02,43355.09,51 %,(36%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2025-2026.aspx
2025-2026,8,August,Petroleum,12100.01,505.53,3664.09,4 %,(31%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2025-2026.aspx
2025-2026,8,August,Total Major Subsidies,383407.21,150376.77,178624.68,39%,(47%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2025-2026.aspx
2025-2026,9,September,Food Subsidy,203420.00,88375.35,121436.78,43%,(59%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2025-2026.aspx
2025-2026,9,September,Nutrient Based Fertilizers Subsidy,49000.00,29301.49,26193.21,60%,(58%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2025-2026.aspx
2025-2026,9,September,Urea Subsidy,118887.20,77973.67,63267.44,66%,(53%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2025-2026.aspx
2025-2026,9,September,Petroleum,12100.01,6716.68,3760.52,56%,(32%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2025-2026.aspx
2025-2026,9,September,Total Major Subsidies,383407.21,202367.19,214657.95,53%,(56%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2025-2026.aspx
2025-2026,10,October,Food Subsidy,203420.00,116375.34,140239.11,57%,(68%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2025-2026.aspx
2025-2026,10,October,Nutrient Based Fertilizers Subsidy,49000.00,35387.62,31173.20,72 %,(69%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2025-2026.aspx
2025-2026,10,October,Urea Subsidy,118887.20,87927.62,71272.72,74 %,(60%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2025-2026.aspx
2025-2026,10,October,Petroleum,12100.01,6884.68,5985.40,57%,(50%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2025-2026.aspx
2025-2026,10,October,Total Major Subsidies,383407.21,246575.26,248670.43,64 %,(65%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2025-2026.aspx
2025-2026,11,November,Food Subsidy,203420.00,137300.59,151765.26,67%,(74%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2025-2026.aspx
2025-2026,11,November,Nutrient Based Fertilizers Subsidy,49000.00,46376.88,37273.35,95%,(83%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2025-2026.aspx
2025-2026,11,November,Urea Subsidy,118887.20,96026.95,84089.36,81%,(71%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2025-2026.aspx
2025-2026,11,November,Petroleum,12100.01,8628.66,6082.82,71%,(51%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2025-2026.aspx
2025-2026,11,November,Total Major Subsidies,383407.21,288333.08,279210.79,75%,(73%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2025-2026.aspx
2025-2026,12,December,Food Subsidy,203420.00,151178.70,163716.30,74%,(80%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2025-2026.aspx
2025-2026,12,December,Nutrient Based Fertilizers Subsidy,49000.00,48689.62,40990.68,99%,(91%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2025-2026.aspx
2025-2026,12,December,Urea Subsidy,118887.20,108901.18,95407.98,92%,(80%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2025-2026.aspx
2025-2026,12,December,Petroleum,12100.01,8720.42,6879.23,72%,(58%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2025-2026.aspx
2025-2026,12,December,Total Major Subsidies,383407.21,317489.92,306994.19,83%,(81%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2025-2026.aspx
