fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,coppy_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,9,September,Urea Subsidy,47805.00,43814.27,37543.13,92%,(70%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Petroleum,40915.21,17743.88,31312.28,43%,(84%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Total Major Subsidies,227793.89,156209.97,211388.04,69%,(70%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,10,October,Food Subsidy,115569.68,105203.19,129788.08,91%,(70%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,Nutrient Based Fertilizers Subsidy,23504.00,12795.43,20873.14,54%,(79%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,Urea Subsidy,47805.00,48010.53,46222.23,100%,(86%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,Petroleum,40915.21,19390.67,29840.34,47%,(80%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,Total Major Subsidies,227793.89,185399.82,226723.79,81%,(75%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,11,November,Food Subsidy,115569.68,116261.35,132177.49,101%,(72%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Nutrient Based Fertilizers Subsidy,23504.00,15801.69,22429.88,67%,(85%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Urea Subsidy,47805.00,49930.65,50851.05,104%,(95%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Petroleum,40915.21,20125.01,29556.61,49%,(79%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Total Major Subsidies,227793.89,202118.70,235015.03,89%,(78%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,12,December,Food Subsidy,115569.68,125302.05,142625.08,108%,(77%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2020-2021.aspx
2020-2021,12,December,Nutrient Based Fertilizers Subsidy,23504.00,17954.72,25308.93,76 %,(96%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2020-2021.aspx
2020-2021,12,December,Urea Subsidy,47805.00,55559.68,51851.16,116%,(97%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2020-2021.aspx
2020-2021,12,December,Petroleum,40915.21,28535.73,32252.61,70 %,(86%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2020-2021.aspx
2020-2021,12,December,Total Major Subsidies,227793.89,227352.18,252037.78,100%,(84%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2020-2021.aspx
