fiscal_year,month_numeric,month,description,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2022-2023,4,April,C. Non-Tax Revenue of U.T.s,2806.81,267.37,10%,(5)%,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,D. Other Non-Tax Revenue,,,,,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,Other Non-Tax Revenue Fiscal Services (Net),1296.02,13.25,1%,(1)%,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,Other Non-Tax Revenue General Services (Net),19896.17,2556.98,13%,(9)%,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,Other Non-Tax Revenue Social Services,2944.81,467.47,16%,(35)%,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,Other Non-Tax Revenue Economic Services (Net),110139.26,7694.74,7%,(6)%,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,Other Non-Tax Revenue Grants-in-Aid and Contributions,620.00,8.82,1%,(3)%,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,Total Other Non-Tax Revenue,134896.26,10741.26,8%,(8)%,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,Net Non-Tax Revenue,269651.07,11938.25,4%,(7)%,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,A. Interest Receipts,18000.00,2666.14,15%,(24)%,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,B. Dividends and Profits,113948.00,30714.95,27%,(96)%,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,C. Non-Tax Revenue of U.T.s,2806.81,433.73,15%,(9)%,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,D. Other Non-Tax Revenue,,,,,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,Other Non-Tax Revenue Fiscal Services (Net),1296.02,48.19,4%,(1)%,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,Other Non-Tax Revenue General Services (Net),19896.17,4419.65,22%,(15)%,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,Other Non-Tax Revenue Social Services,2944.81,670.11,23%,(41)%,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,Other Non-Tax Revenue Economic Services (Net),110139.26,10256.76,9%,(9)%,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,Other Non-Tax Revenue Grants-in-Aid and Contributions,620.00,41.29,7%,(20)%,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,Total Other Non-Tax Revenue,134896.26,15436.00,11%,(11)%,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,Net Non-Tax Revenue,269651.07,49250.82,18%,(48)%,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,A. Interest Receipts,18000.00,5056.68,28%,(40)%,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,B. Dividends and Profits,113948.00,34703.08,30%,(98)%,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,C. Non-Tax Revenue of U.T.s,2806.81,611.22,22%,(13)%,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,D. Other Non-Tax Revenue,,,,,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,Other Non-Tax Revenue Fiscal Services (Net),1296.02,71.05,5%,(2)%,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,Other Non-Tax Revenue General Services (Net),19896.17,6212.17,31%,(20)%,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,Other Non-Tax Revenue Social Services,2944.81,1019.61,35%,(45)%,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,Other Non-Tax Revenue Economic Services (Net),110139.26,14327.07,13%,(15)%,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,Other Non-Tax Revenue Grants-in-Aid and Contributions,620.00,159.01,26%,(24)%,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,Total Other Non-Tax Revenue,134896.26,21788.91,16%,(16)%,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,Net Non-Tax Revenue,269651.07,62159.89,23%,(52)%,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,A. Interest Receipts,18000.00,7489.04,42%,(57)%,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,B. Dividends and Profits,113948.00,42266.09,37%,(98)%,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,C. Non-Tax Revenue of U.T.s,2806.81,797.11,28%,(19)%,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,D. Other Non-Tax Revenue,,,,,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,Other Non-Tax Revenue Fiscal Services (Net),1296.02,83.57,6%,(4)%,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,Other Non-Tax Revenue General Services (Net),19896.17,8419.92,42%,(25)%,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,Other Non-Tax Revenue Social Services,2944.81,1639.51,56%,(56)%,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,Other Non-Tax Revenue Economic Services (Net),110139.26,28709.10,26%,(24)%,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,Other Non-Tax Revenue Grants-in-Aid and Contributions,620.00,178.96,29%,(25)%,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,Total Other Non-Tax Revenue,134896.26,39031.06,29%,(25)%,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,Net Non-Tax Revenue,269651.07,89583.30,33%,(58)%,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,A. Interest Receipts,18000.00,10071.12,56%,(73)%,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,B. Dividends and Profits,113948.00,42676.17,37%,(98)%,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,C. Non-Tax Revenue of U.T.s,2806.81,986.28,35%,(25)%,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,D. Other Non-Tax Revenue,,,,,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,Other Non-Tax Revenue Fiscal Services (Net),1296.02,164.40,13%,(5)%,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,Other Non-Tax Revenue General Services (Net),19896.17,10145.19,51%,(33)%,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,Other Non-Tax Revenue Social Services,2944.81,1916.22,65%,(68)%,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,Other Non-Tax Revenue Economic Services (Net),110139.26,50337.04,46%,(28)%,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,Other Non-Tax Revenue Grants-in-Aid and Contributions,620.00,507.73,82%,(42)%,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,Total Other Non-Tax Revenue,134896.26,63070.58,47%,(30)%,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,Net Non-Tax Revenue,269651.07,116804.15,4 3%,(61)%,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,A. Interest Receipts,18000.00,12483.73,69%,(89)%,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,B. Dividends and Profits,113948.00,53064.59,47%,(102)%,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,C. Non-Tax Revenue of U.T.s,2806.81,1181.69,42%,(30)%,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,D. Other Non-Tax Revenue,,,,,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,Other Non-Tax Revenue Fiscal Services (Net),1296.02,167.27,13%,(6)%,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,Other Non-Tax Revenue General Services (Net),19896.17,12647.12,64%,(40)%,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,Other Non-Tax Revenue Social Services,2944.81,2221.00,75%,(74)%,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,Other Non-Tax Revenue Economic Services (Net),110139.26,75195.08,68%,(32)%,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,Other Non-Tax Revenue Grants-in-Aid and Contributions,620.00,639.63,103%,(43)%,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,Total Other Non-Tax Revenue,134896.26,90870.10,67%,(35)%,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,Net Non-Tax Revenue,269651.07,157600.11,58%,(66)%,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,A. Interest Receipts,18000.00,14146.26,79%,(108)%,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,B. Dividends and Profits,113948.00,58175.74,51%,(114)%,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,C. Non-Tax Revenue of U.T.s,2806.81,1447.14,52%,(42)%,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,D. Other Non-Tax Revenue,,,,,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,Other Non-Tax Revenue Fiscal Services (Net),1296.02,170.45,13%,(6)%,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,Other Non-Tax Revenue General Services (Net),19896.17,14529.09,73%,(99)%,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,Other Non-Tax Revenue Social Services,2944.81,2527.12,86%,(86)%,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,Other Non-Tax Revenue Economic Services (Net),110139.26,87127.18,79%,(52)%,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,Other Non-Tax Revenue Grants-in-Aid and Contributions,620.00,655.90,106%,(44)%,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,Total Other Non-Tax Revenue,134896.26,105009.74,78%,(60)%,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,Net Non-Tax Revenue,269651.07,178778.88,66%,(85)%,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,A. Interest Receipts,18000.00,16632.24,92%,(121)%,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,B. Dividends and Profits,113948.00,68254.02,60%,(124)%,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,C. Non-Tax Revenue of U.T.s,2806.81,1652.95,59%,(51)%,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,D. Other Non-Tax Revenue,,,,,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,Other Non-Tax Revenue Fiscal Services (Net),1296.02,349.77,27%,(7)%,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,Other Non-Tax Revenue General Services (Net),19896.17,16321.34,82%,(107)%,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,Other Non-Tax Revenue Social Services,2944.81,2829.19,96%,(93)%,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,Other Non-Tax Revenue Economic Services (Net),110139.26,91374.87,83%,(54)%,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,Other Non-Tax Revenue Grants-in-Aid and Contributions,620.00,904.19,146%,(45)%,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,Total Other Non-Tax Revenue,134896.26,111779.36,83%,(64)%,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,Net Non-Tax Revenue,269651.07,198318.57,74%,(92)%,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,A. Interest Receipts,18000.00,18870.41,105%,(139)%,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,B. Dividends and Profits,113948.00,76361.89,67%,(132)%,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,C. Non-Tax Revenue of U.T.s,2806.81,1845.09,66%,(57)%,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,D. Other Non-Tax Revenue,,,,,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Other Non-Tax Revenue Fiscal Services (Net),1296.02,353.83,27%,(8)%,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Other Non-Tax Revenue General Services (Net),19896.17,18614.64,94%,(125)%,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Other Non-Tax Revenue Social Services,2944.81,3155.23,107%,(104)%,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Other Non-Tax Revenue Economic Services (Net),110139.26,94192.90,86%,(74)%,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Other Non-Tax Revenue Grants-in-Aid and Contributions,620.00,907.69,146%,(161)%,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Total Other Non-Tax Revenue,134896.26,117224.29,87%,(84)%,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,Net Non-Tax Revenue,269651.07,214301.68,79%,(107)%,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,A. Interest Receipts,31778.00,29736.12,94%,(83)%,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,B. Dividends and Profits,154407.00,147847.87,96%,(92)%,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,C. Non-Tax Revenue of U.T.s,2525.71,2850.76,113%,(91)%,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,D. Other Non-Tax Revenue,,,,,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,Other Non-Tax Revenue Fiscal Services (Net),1769.59,1233.08,70%,(27)%,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,Other Non-Tax Revenue General Services (Net),25058.74,22615.18,90%,(88)%,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,Other Non-Tax Revenue Social Services,6080.25,5126.30,84%,(88)%,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,Other Non-Tax Revenue Economic Services (Net),152733.84,127929.75,84%,(89 )%,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,Other Non-Tax Revenue Grants-in-Aid and Contributions,1441.87,729.69,51%,( 36)%,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,Total Other Non-Tax Revenue,187084.29,157634.00,84%,(87)%,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,Net Non-Tax Revenue,375795.00,338068.75,90%,(88)%,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,A. Interest Receipts,31778.00,34036.46,107%,(94)%,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,B. Dividends and Profits,154407.00,157070.40,102%,(100)%,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,C. Non-Tax Revenue of U.T.s,2525.71,3069.90,122%,(98)%,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,D. Other Non-Tax Revenue,,,,,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,Other Non-Tax Revenue Fiscal Services (Net),1769.59,1654.34,93%,(50)%,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,Other Non-Tax Revenue General Services (Net),25058.74,24850.88,99%,(96)%,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,Other Non-Tax Revenue Social Services,6080.25,5871.53,97%,(123)%,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,Other Non-Tax Revenue Economic Services (Net),152733.84,133046.93,87%,(92 )%,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,Other Non-Tax Revenue Grants-in-Aid and Contributions,1441.87,729.95,51%,( 36)%,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,Total Other Non-Tax Revenue,187084.29,166153.63,89%,(92)%,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,Net Non-Tax Revenue,375795.00,360330.39,96%,(95)%,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,A. Interest Receipts,31778.00,38297.11,121%,(113)%,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,B. Dividends and Profits,154407.00,170443.88,110%,(119)%,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,C. Non-Tax Revenue of U.T.s,2525.71,3028.37,120%,(97)%,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,D. Other Non-Tax Revenue,,,,,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Other Non-Tax Revenue Fiscal Services (Net),1769.59,1858.12,105%,(86)%,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Other Non-Tax Revenue General Services (Net),25058.74,27830.39,111%,(105)%,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Other Non-Tax Revenue Social Services,6080.25,7664.51,126%,(171)%,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Other Non-Tax Revenue Economic Services (Net),152733.84,151752.15,99%,(101 )%,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Other Non-Tax Revenue Grants-in-Aid and Contributions,1441.87,1012.74,70%,( 73)%,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Total Other Non-Tax Revenue,187084.29,190117.91,102%,(103)%,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,Net Non-Tax Revenue,375795.00,401887.27,107%,(109)%,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,A. Interest Receipts,24820.12,799.30,3%,(3)%,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,B. Dividends and Profits,91000.00,80.25,<1%,(<1)%,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,C. Non-Tax Revenue of U.T.s,2313.13,247.52,11%,(10)%,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,D. Other Non-Tax Revenue,,,,,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,Other Non-Tax Revenue Fiscal Services (Net),1431.00,5.44,<1%,(1)%,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,Other Non-Tax Revenue General Services (Net),24312.50,3064.34,13%,(13)%,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,Other Non-Tax Revenue Social Services,3961.29,619.65,16%,(16)%,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,Other Non-Tax Revenue Economic Services (Net),151677.09,6135.15,4%,(7)%,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,Other Non-Tax Revenue Grants-in-Aid and Contributions,2135.31,6.01,<1%,(1)%,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,Total Other Non-Tax Revenue,183517.19,9830.59,5%,(8)%,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,Net Non-Tax Revenue,301650.44,10957.66,4%,(4)%,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,A. Interest Receipts,24820.12,5492.72,22%,(15)%,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,B. Dividends and Profits,91000.00,87595.20,96%,(27)%,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,C. Non-Tax Revenue of U.T.s,2313.13,943.01,41%,(15)%,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,D. Other Non-Tax Revenue,,,,,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,Other Non-Tax Revenue Fiscal Services (Net),1431.00,346.18,24%,(4)%,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,Other Non-Tax Revenue General Services (Net),24312.50,5272.23,22%,(22)%,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,Other Non-Tax Revenue Social Services,3961.29,1538.14,39%,(23)%,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,Other Non-Tax Revenue Economic Services (Net),151677.09,33446.04,22%,(9)%,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,Other Non-Tax Revenue Grants-in-Aid and Contributions,2135.31,21.66,1%,(7)%,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,Total Other Non-Tax Revenue,183517.19,40624.25,22%,(11)%,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
