fiscal_year,month_numeric,month,description,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,6,June,A. Interest Receipts,11042.04,1629.08,15%,(24%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,B. Dividends and Profits,155395.47,2349.39,2%,(< 1% ),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,C. Non-Tax Revenue of U.T.s,2302.56,190.85,8%,(21%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,D. Other Non-Tax Revenue,,,,,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,Other Non-Tax Revenue Fiscal Services (Net),750.80,26.17,3%,(57% ),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,Other Non-Tax Revenue General Services (Net),21620.82,3432.65,16%,(32%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,Other Non-Tax Revenue Social Services,4268.59,1594.33,37%,( 19%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,Other Non-Tax Revenue Economic Services (Net),188825.02,5691.34,3%,( 20%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,Other Non-Tax Revenue Grants-in-Aid and Contributions,812.00,271.96,33%,(3% ),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,Total Other Non-Tax Revenue,216277.23,11016.45,5%,(22%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,Net Non-Tax Revenue,385017.30,15185.77,4%,(11%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,A. Interest Receipts,11042.04,2818.75,26%,(30%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
